id,skills_in_desc
123526457,SQL
123526457,Python
123526457,Power BI
123526457,Greenplum
123526457,Airflow
123526457,DWH
123526457,ML
123526457,AI
123526457,EDA
123526457,Статистика
123537004,SQL
123537004,Python
123537004,Tableau
123537004,Excel
123537004,Matplotlib
123537004,MySQL
123537004,Oracle
123537004,ClickHouse
123537004,ETL
123537004,Pandas
123537004,NumPy
123520648,SQL
123520648,Power BI
123520648,Excel
123530674,Excel
123522186,Power BI
123522186,Tableau
123464963,Scrum
123464963,Agile
123464963,Kanban
123464963,Jira
123464963,Confluence
123532103,SQL
123532103,Python
123532103,Power BI
123530618,SQL
123530618,Python
123530618,Power BI
123530618,Qlik
123530618,Superset
123530618,MS SQL
123530618,ClickHouse
123530618,Airflow
123530618,ETL
123524246,SQL
123524246,Agile
123524246,Jira
123524246,Confluence
123524246,REST API
123362863,SQL
123362863,Python
123362863,Tableau
123362863,Metabase
123362863,Redash
123391639,SQL
123391639,Agile
123391639,Jira
123297622,SQL
123297622,ETL
123436009,SQL
123436009,Python
123436009,Excel
123469384,SQL
123469384,Python
123469384,Power BI
123469384,Seaborn
123469384,PostgreSQL
123469384,ClickHouse
123469384,ETL
123469384,Pandas
123530613,SQL
123530613,Python
123530613,Excel
123465258,Scrum
123465258,Agile
123465258,Kanban
123410946,SQL
123410946,Power BI
123410946,Tableau
123410946,Excel
123410946,ML
123474434,SQL
123474434,Python
123474434,Power BI
123474434,PostgreSQL
123474434,Airflow
123474434,ETL
123474434,Git
123465383,Excel
123332410,SQL
123348617,SQL
123348617,Power BI
123348617,Tableau
123348617,PostgreSQL
123348617,Oracle
123348617,Kafka
123348617,Agile
123461543,SQL
123461543,Python
123461543,Power BI
123461543,Metabase
123461543,Excel
123461543,ClickHouse
123461543,A/B тестирование
123461543,Pandas
123461543,NumPy
123480297,SQL
123480297,Jira
123480297,Confluence
123437095,Python
123437095,Airflow
123437095,AWS
123437095,Azure
123437095,GCP
123437095,ETL
123437095,ML
123437095,AI
123437095,CI/CD
123437095,Docker
123437095,Kubernetes
123390975,SQL
123390975,Excel
123496181,SQL
123496181,Excel
123520269,SQL
123520269,Python
123513616,Machine Learning
123286350,SQL
123286350,Python
123286350,R
123286350,ETL
123465569,SQL
123465569,MS SQL
123465569,Jira
123465569,Confluence
123465569,REST API
123479980,SQL
123479980,Azure
